model,threshold,net_benefit_model
gradient_boosting,0.6435353535353535,0.15544063474071973
gradient_boosting,0.6534343434343434,0.14702710580005834
gradient_boosting,0.6633333333333333,0.1381188118811881
gradient_boosting,0.6732323232323232,0.11867078825347768
gradient_boosting,0.6831313131313131,0.10863245138667521
gradient_boosting,0.693030303030303,0.09794669299111555
gradient_boosting,0.702929292929293,0.08654879292757564
gradient_boosting,0.7128282828282828,0.09918747801618011
gradient_boosting,0.7227272727272727,0.09040983606557387
gradient_boosting,0.7326262626262626,0.08709293539856439
gradient_boosting,0.7425252525252525,0.07487053746567285
gradient_boosting,0.7524242424242424,0.061670746634026885
gradient_boosting,0.7623232323232323,0.05340841478963032
gradient_boosting,0.7722222222222221,0.03878048780487814
gradient_boosting,0.7821212121212121,0.030771905424200274
gradient_boosting,0.792020202020202,0.009388052452647011
gradient_boosting,0.8019191919191919,0.006608873023967343
